content,sentimen,aspek,content_clean,content_casefolded,content_normalized,content_stopword,content_tokens,clean_text,content_stemmed
"daftarin ortu,verifikasi wajah gagal terus, jadi nya limit , tiap hari di suruh besok lagi,",Negative,Autentikasi,daftarin ortu verifikasi wajah gagal terus jadi nya limit  tiap hari di suruh besok lagi,daftarin ortu verifikasi wajah gagal terus jadi nya limit  tiap hari di suruh besok lagi,daftarin orang tua verifikasi wajah gagal terus jadi ya limit tiap hari di suruh besok lagi,daftarin orang tua verifikasi wajah gagal limit suruh besok,"['daftarin', 'orang', 'tua', 'verifikasi', 'wajah', 'gagal', 'limit', 'suruh', 'besok']",daftarin orang tua verifikasi wajah gagal limit suruh besok,"['daftarin', 'orang', 'tua', 'verifikasi', 'wajah', 'gagal', 'limit', 'suruh', 'besok']"
"Mau Instal, verifikasi gagal terus,ribet susah...",Negative,Autentikasi,Mau Instal verifikasi gagal terus ribet susah,mau instal verifikasi gagal terus ribet susah,mau install verifikasi gagal terus rumit susah,install verifikasi gagal rumit susah,"['install', 'verifikasi', 'gagal', 'rumit', 'susah']",install verifikasi gagal rumit susah,"['install', 'verifikasi', 'gagal', 'rumit', 'susah']"
Verifikasi email sampai 1 jam kok gak di kirim kodenya di ulang ulang sama aja,Negative,Autentikasi,Verifikasi email sampai  jam kok gak di kirim kodenya di ulang ulang sama aja,verifikasi email sampai  jam kok gak di kirim kodenya di ulang ulang sama aja,verifikasi email sampai jam kok tidak di kirim kodenya di ulang ulang sama saja,verifikasi email jam tidak kirim kodenya ulang ulang,"['verifikasi', 'email', 'jam', 'tidak', 'kirim', 'kodenya', 'ulang', 'ulang']",verifikasi email jam tidak kirim kodenya ulang ulang,"['verifikasi', 'email', 'jam', 'tidak', 'kirim', 'kode', 'ulang', 'ulang']"
"Mau download BNI mobile banking gaboleh suruh wondr aja, Satpam suruh download wondr ku kira bisa cardless ternyata tidak, sekarang mau daftar mobile banking harus ke Bank dulu buat registrasi ID jadi males, kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa",Negative,Autentikasi,Mau download BNI mobile banking gaboleh suruh wondr aja Satpam suruh download wondr ku kira bisa cardless ternyata tidak sekarang mau daftar mobile banking harus ke Bank dulu buat registrasi ID jadi males kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa,mau download bni mobile banking gaboleh suruh wondr aja satpam suruh download wondr ku kira bisa cardless ternyata tidak sekarang mau daftar mobile banking harus ke bank dulu buat registrasi id jadi males kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa,mau download bni mobile banking tidak boleh suruh wondr saja satpam suruh download wondr ku kira bisa cardless ternyata tidak sekarang mau daftar mobile banking harus ke bank dulu buat registrasi id jadi malas kalau disuruh migrasi seharusnya fitur juga memadai dengan aplikasi sebelumnya ini cardless saja tidak bisa,download mobile banking tidak suruh satpam suruh download ku bisa cardless tidak daftar mobile banking bank registrasi id malas disuruh migrasi fitur memadai cardless tidak bisa,"['download', 'mobile', 'banking', 'tidak', 'suruh', 'satpam', 'suruh', 'download', 'ku', 'bisa', 'cardless', 'tidak', 'daftar', 'mobile', 'banking', 'bank', 'registrasi', 'id', 'malas', 'disuruh', 'migrasi', 'fitur', 'memadai', 'cardless', 'tidak', 'bisa']",download mobile banking tidak suruh satpam suruh download ku bisa cardless tidak daftar mobile banking bank registrasi id malas disuruh migrasi fitur memadai cardless tidak bisa,"['download', 'mobile', 'banking', 'tidak', 'suruh', 'satpam', 'suruh', 'download', 'ku', 'bisa', 'cardless', 'tidak', 'daftar', 'mobile', 'banking', 'bank', 'registrasi', 'id', 'malas', 'suruh', 'migrasi', 'fitur', 'pada', 'cardless', 'tidak', 'bisa']"
"Gabisa di buka, tulisannya tidak bisa mendaftar, tidak ada menu login, padahal pendaftaran sudah terpenuhi, dan sudah bisa di pakai transaksi pembelian token, tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi, tidak ada menu loginnya",Negative,Autentikasi,Gabisa di buka tulisannya tidak bisa mendaftar tidak ada menu login padahal pendaftaran sudah terpenuhi dan sudah bisa di pakai transaksi pembelian token tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi tidak ada menu loginnya,gabisa di buka tulisannya tidak bisa mendaftar tidak ada menu login padahal pendaftaran sudah terpenuhi dan sudah bisa di pakai transaksi pembelian token tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi tidak ada menu loginnya,tidak bisa di buka tulisannya tidak bisa mendaftar tidak ada menu login padahal pendaftaran sudah terpenuhi dan sudah bisa di pakai transaksi pembelian token tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi tidak ada menu loginnya,tidak bisa buka tulisannya tidak bisa mendaftar tidak menu login pendaftaran terpenuhi bisa pakai transaksi pembelian token masuk daftar tidak menu loginnya,"['tidak', 'bisa', 'buka', 'tulisannya', 'tidak', 'bisa', 'mendaftar', 'tidak', 'menu', 'login', 'pendaftaran', 'terpenuhi', 'bisa', 'pakai', 'transaksi', 'pembelian', 'token', 'masuk', 'daftar', 'tidak', 'menu', 'loginnya']",tidak bisa buka tulisannya tidak bisa mendaftar tidak menu login pendaftaran terpenuhi bisa pakai transaksi pembelian token masuk daftar tidak menu loginnya,"['tidak', 'bisa', 'buka', 'tulis', 'tidak', 'bisa', 'daftar', 'tidak', 'menu', 'login', 'daftar', 'penuh', 'bisa', 'pakai', 'transaksi', 'beli', 'token', 'masuk', 'daftar', 'tidak', 'menu', 'loginnya']"
"kedua kali saya komenn, masalahnya masih sama, andai bisa kirim ss di komentar, benerin verifikasi wajahnya, jgn dikit"" gagal, pdhl kunci wajah udh bner udh kena gembok nya, tp malah peringatan keluar ga bisa"", hadeh cape apk macam apa ini",Negative,Autentikasi,kedua kali saya komenn masalahnya masih sama andai bisa kirim ss di komentar benerin verifikasi wajahnya jgn dikit gagal pdhl kunci wajah udh bner udh kena gembok nya tp malah peringatan keluar ga bisa hadeh cape apk macam apa ini,kedua kali saya komenn masalahnya masih sama andai bisa kirim ss di komentar benerin verifikasi wajahnya jgn dikit gagal pdhl kunci wajah udh bner udh kena gembok nya tp malah peringatan keluar ga bisa hadeh cape apk macam apa ini,kedua kali saya komenn masalahnya masih sama andai bisa kirim ss di komentar benerin verifikasi wajahnya jangan dikit gagal padahal kunci wajah sudah benar sudah kena gembok ya tapi malah peringatan keluar tidak bisa haduh capek aplikasi macam apa ini,kali komenn masih andai bisa kirim ss komentar benerin verifikasi wajahnya dikit gagal kunci wajah kena gembok peringatan tidak bisa haduh capek,"['kali', 'komenn', 'masih', 'andai', 'bisa', 'kirim', 'ss', 'komentar', 'benerin', 'verifikasi', 'wajahnya', 'dikit', 'gagal', 'kunci', 'wajah', 'kena', 'gembok', 'peringatan', 'tidak', 'bisa', 'haduh', 'capek']",kali komenn masih andai bisa kirim ss komentar benerin verifikasi wajahnya dikit gagal kunci wajah kena gembok peringatan tidak bisa haduh capek,"['kali', 'komenn', 'masih', 'andai', 'bisa', 'kirim', 'ss', 'komentar', 'benerin', 'verifikasi', 'wajah', 'dikit', 'gagal', 'kunci', 'wajah', 'kena', 'gembok', 'ingat', 'tidak', 'bisa', 'haduh', 'capek']"
"Ngescan aja lama, gagal terus gk kebaca saat scan muka. Tolong diperbaiki masalah scan muka ngebug",Negative,Autentikasi,Ngescan aja lama gagal terus gk kebaca saat scan muka Tolong diperbaiki masalah scan muka ngebug,ngescan aja lama gagal terus gk kebaca saat scan muka tolong diperbaiki masalah scan muka ngebug,ngescan saja lama gagal terus tidak kebaca saat scan muka tolong diperbaiki masalah scan muka bug,ngescan lama gagal tidak kebaca scan muka tolong diperbaiki scan muka bug,"['ngescan', 'lama', 'gagal', 'tidak', 'kebaca', 'scan', 'muka', 'tolong', 'diperbaiki', 'scan', 'muka', 'bug']",ngescan lama gagal tidak kebaca scan muka tolong diperbaiki scan muka bug,"['ngescan', 'lama', 'gagal', 'tidak', 'baca', 'scan', 'muka', 'tolong', 'diperbaiki', 'scan', 'muka', 'bug']"
"gabisa login. Disuruh dekatkan wajah di depan layar, tacoba 10x gabisa anjirr. La terus harus posisi gimana coyy, padahal deteksi kek login face id, dana, bisaaaa deh GILA NI APLIKASI SERING EROR;;?!!!!;!;!!!!?!?",Negative,Autentikasi,gabisa login Disuruh dekatkan wajah di depan layar tacoba x gabisa anjirr La terus harus posisi gimana coyy padahal deteksi kek login face id dana bisaaaa deh GILA NI APLIKASI SERING EROR,gabisa login disuruh dekatkan wajah di depan layar tacoba x gabisa anjirr la terus harus posisi gimana coyy padahal deteksi kek login face id dana bisaaaa deh gila ni aplikasi sering eror,tidak bisa login disuruh dekatkan wajah di depan layar tacoba kali tidak bisa anjir lah terus harus posisi bagaimana coyy padahal deteksi kayak/seperti login face id dana bisaaaa saja gila ini aplikasi sering error,tidak bisa login disuruh dekatkan wajah layar tacoba kali tidak bisa anjir posisi coyy deteksi kayak/seperti login face id dana bisaaaa gila sering error,"['tidak', 'bisa', 'login', 'disuruh', 'dekatkan', 'wajah', 'layar', 'tacoba', 'kali', 'tidak', 'bisa', 'anjir', 'posisi', 'coyy', 'deteksi', 'kayak/seperti', 'login', 'face', 'id', 'dana', 'bisaaaa', 'gila', 'sering', 'error']",tidak bisa login disuruh dekatkan wajah layar tacoba kali tidak bisa anjir posisi coyy deteksi kayak/seperti login face id dana bisaaaa gila sering error,"['tidak', 'bisa', 'login', 'suruh', 'dekat', 'wajah', 'layar', 'tacoba', 'kali', 'tidak', 'bisa', 'anjir', 'posisi', 'coyy', 'deteksi', 'kayak seperti', 'login', 'face', 'id', 'dana', 'bisaaaa', 'gila', 'sering', 'error']"
Uda instal dan upgrade sampe ke bank..tetapi ketika mau pake selalu muncul keterangan: sesi ini sudah berakhir silahkan login ulang...pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu...g bisa login2....lebih mudah aplikasi bni mobile yang pertamaaa,Negative,Autentikasi,Uda instal dan upgrade sampe ke bank tetapi ketika mau pake selalu muncul keterangan sesi ini sudah berakhir silahkan login ulang pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu g bisa login lebih mudah aplikasi bni mobile yang pertamaaa,uda instal dan upgrade sampe ke bank tetapi ketika mau pake selalu muncul keterangan sesi ini sudah berakhir silahkan login ulang pdahal saat aktivasi pertama di bank uda bisaa eh mau login lagi malah selalu muncul keterangan spt itu g bisa login lebih mudah aplikasi bni mobile yang pertamaaa,sudah install dan upgrade sampai ke bank tetapi ketika mau pakai selalu muncul keterangan sesi ini sudah berakhir silakan login ulang padahal saat aktivasi pertama di bank sudah bisa eh mau login lagi malah selalu muncul keterangan seperti itu tidak bisa login lebih mudah aplikasi bni mobile yang pertamaaa,install upgrade bank pakai muncul keterangan sesi silakan login ulang aktivasi bank bisa eh login muncul keterangan tidak bisa login lebih mudah mobile pertamaaa,"['install', 'upgrade', 'bank', 'pakai', 'muncul', 'keterangan', 'sesi', 'silakan', 'login', 'ulang', 'aktivasi', 'bank', 'bisa', 'eh', 'login', 'muncul', 'keterangan', 'tidak', 'bisa', 'login', 'lebih', 'mudah', 'mobile', 'pertamaaa']",install upgrade bank pakai muncul keterangan sesi silakan login ulang aktivasi bank bisa eh login muncul keterangan tidak bisa login lebih mudah mobile pertamaaa,"['install', 'upgrade', 'bank', 'pakai', 'muncul', 'terang', 'sesi', 'sila', 'login', 'ulang', 'aktivasi', 'bank', 'bisa', 'eh', 'login', 'muncul', 'terang', 'tidak', 'bisa', 'login', 'lebih', 'mudah', 'mobile', 'pertamaaa']"
Overall sudah good. Tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,Negative,Autentikasi,Overall sudah good Tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,overall sudah good tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,overall sudah good tolong tambahkan fitur untuk cek saldo tanpa harus login ke aplikasi,overall good tolong tambahkan fitur cek saldo tanpa login,"['overall', 'good', 'tolong', 'tambahkan', 'fitur', 'cek', 'saldo', 'tanpa', 'login']",overall good tolong tambahkan fitur cek saldo tanpa login,"['overall', 'good', 'tolong', 'tambah', 'fitur', 'cek', 'saldo', 'tanpa', 'login']"
