content,Tampilan,Autentikasi,Transaksi
LEBIH simpel BNI MOBILE. MAKSUDNYA APA YAH nasabah di suruh migrasi fungsinya sama aja sama BNI mobile. BUMN Oh BUMN,Negative,,
"daftarin ortu,verifikasi wajah gagal terus, jadi nya limit , tiap hari di suruh besok lagi,",,Negative,
Lebih simpel dari aplikasi BNI sebelumnya,Positive,,
"Wah, notifikasi terkait konfirmasi transaksi lama dan kadang reciept/riwayat transaksi yg terjadi ga ke track. Justru lebih baik di app sebelumnya, bnimobile. Tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan. Tidak senyaman itu.",Positive,,Negative
Mengapa memakai baras minimum jika ingin transaksi padahal sebelumnya tdk memakai batas maksimum untuk wonder sya,,,Negative
"Mau Instal, verifikasi gagal terus,ribet susah...",,Negative,
Verifikasi email sampai 1 jam kok gak di kirim kodenya di ulang ulang sama aja,,Negative,
kok fitur notifikasi transaksi keluar masuk dll gabisa digunakan gimana yaa. tolong plisss jadi gatau kalo ada saldo masuk ngga nyaa,,,Negative
"Mau download BNI mobile banking gaboleh suruh wondr aja, Satpam suruh download wondr ku kira bisa cardless ternyata tidak, sekarang mau daftar mobile banking harus ke Bank dulu buat registrasi ID jadi males, kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa",,Negative,
"Gabisa di buka, tulisannya tidak bisa mendaftar, tidak ada menu login, padahal pendaftaran sudah terpenuhi, dan sudah bisa di pakai transaksi pembelian token, tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi, tidak ada menu loginnya",,Negative,Negative
Aplikasi yg bagus.mempermudah semua transaksi.👍👍👍👍,,,Positive
Tidak ada menu Setor tunai.. update dong min.,,,Negative
"kedua kali saya komenn, masalahnya masih sama, andai bisa kirim ss di komentar, benerin verifikasi wajahnya, jgn dikit"" gagal, pdhl kunci wajah udh bner udh kena gembok nya, tp malah peringatan keluar ga bisa"", hadeh cape apk macam apa ini",,Negative,
Okeh sih aplikasinya tapi saya sarankan supaya ada notifikasi untuk uang masuk/ transferan masuk supaya gak khawatir kalau gak ada yang salah masuk secara tiba-tiba,,,Positive
"Ngescan aja lama, gagal terus gk kebaca saat scan muka. Tolong diperbaiki masalah scan muka ngebug",,Negative,
"gabisa login. Disuruh dekatkan wajah di depan layar, tacoba 10x gabisa anjirr. La terus harus posisi gimana coyy, padahal deteksi kek login face id, dana, bisaaaa deh GILA NI APLIKASI SERING EROR;;?!!!!;!;!!!!?!?",,Negative,
"Dari semalem gak bisa, lagi genting2nya mau transaksi malah eror sampai sekarang..kesel banget🤧 malah apk BNI sebelumnya udh sya hapus skrg mau download lagi,, ribetttt",,,Negative
"kalo dibuka lama baru bisa looding beda dgn yg aplikasi yg dulu,, mau bayar air utk kuwu timir blm bisa",,,Negative
