content,content_stemmed,content_list,aspect_tokens,Tampilan,Authentikasi,Transaksi,aspects
LEBIH simpel BNI MOBILE. MAKSUDNYA APA YAH nasabah di suruh migrasi fungsinya sama aja sama BNI mobile. BUMN Oh BUMN,"[lebih, simpel, maksud, nasabah, suruh, migrasi, fungsi, bumn, oh, bumn]","['lebih', 'simpel', 'maksud', 'nasabah', 'suruh', 'migrasi', 'fungsi', 'bumn', 'oh', 'bumn']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Negative,NA,NA,Tampilan
"daftarin ortu,verifikasi wajah gagal terus, jadi nya limit , tiap hari di suruh besok lagi,","[daftar, orang, tua, verifikasi, wajah, gagal, limit, suruh, besok]","['daftar', 'orang', 'tua', 'verifikasi', 'wajah', 'gagal', 'limit', 'suruh', 'besok']","{'Tampilan': [], 'Authentikasi': ['daftar', 'verifikasi', 'wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Lebih simpel dari aplikasi BNI sebelumnya,"[lebih, simpel]","['lebih', 'simpel']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Wah, notifikasi terkait konfirmasi transaksi lama dan kadang reciept/riwayat transaksi yg terjadi ga ke track. Justru lebih baik di app sebelumnya, bnimobile. Tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan. Tidak senyaman itu.","[notifikasi, kait, konfirmasi, transaksi, lama, kadang, recieptriwayat, transaksi, tidak, track, lebih, baik, bnimobile, tampilan, lebih, menarik, guna, masih, repot, bingung, tidak, nyaman]","['notifikasi', 'kait', 'konfirmasi', 'transaksi', 'lama', 'kadang', 'recieptriwayat', 'transaksi', 'tidak', 'track', 'lebih', 'baik', 'bnimobile', 'tampilan', 'lebih', 'menarik', 'guna', 'masih', 'repot', 'bingung', 'tidak', 'nyaman']","{'Tampilan': ['tampilan', 'menarik'], 'Authentikasi': [], 'Transaksi': ['transaksi', 'transaksi']}",Positive,NA,Negative,"Tampilan, Transaksi"
Mengapa memakai baras minimum jika ingin transaksi padahal sebelumnya tdk memakai batas maksimum untuk wonder sya,"[pakai, baras, minimum, transaksi, tidak, pakai, batas, maksimum]","['pakai', 'baras', 'minimum', 'transaksi', 'tidak', 'pakai', 'batas', 'maksimum']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Mau Instal, verifikasi gagal terus,ribet susah...","[install, verifikasi, gagal, rumit, susah]","['install', 'verifikasi', 'gagal', 'rumit', 'susah']","{'Tampilan': [], 'Authentikasi': ['verifikasi'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Verifikasi email sampai 1 jam kok gak di kirim kodenya di ulang ulang sama aja,"[verifikasi, email, jam, tidak, kirim, kode, ulang, ulang]","['verifikasi', 'email', 'jam', 'tidak', 'kirim', 'kode', 'ulang', 'ulang']","{'Tampilan': [], 'Authentikasi': ['verifikasi', 'email', 'kode'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
kok fitur notifikasi transaksi keluar masuk dll gabisa digunakan gimana yaa. tolong plisss jadi gatau kalo ada saldo masuk ngga nyaa,"[fitur, notifikasi, transaksi, masuk, dll, tidak, tolong, tolong, tidak, saldo, masuk, tidak]","['fitur', 'notifikasi', 'transaksi', 'masuk', 'dll', 'tidak', 'tolong', 'tolong', 'tidak', 'saldo', 'masuk', 'tidak']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'saldo']}",NA,NA,Negative,Transaksi
"Mau download BNI mobile banking gaboleh suruh wondr aja, Satpam suruh download wondr ku kira bisa cardless ternyata tidak, sekarang mau daftar mobile banking harus ke Bank dulu buat registrasi ID jadi males, kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa","[download, tidak, suruh, satpam, suruh, download, ku, cardless, tidak, daftar, bank, registrasi, id, malas, suruh, migrasi, fitur, pada, cardless, tidak]","['download', 'tidak', 'suruh', 'satpam', 'suruh', 'download', 'ku', 'cardless', 'tidak', 'daftar', 'bank', 'registrasi', 'id', 'malas', 'suruh', 'migrasi', 'fitur', 'pada', 'cardless', 'tidak']","{'Tampilan': [], 'Authentikasi': ['daftar'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Gabisa di buka, tulisannya tidak bisa mendaftar, tidak ada menu login, padahal pendaftaran sudah terpenuhi, dan sudah bisa di pakai transaksi pembelian token, tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi, tidak ada menu loginnya","[tidak, buka, tulis, tidak, daftar, tidak, menu, login, daftar, penuh, pakai, transaksi, beli, token, masuk, daftar, tidak, menu, loginnya]","['tidak', 'buka', 'tulis', 'tidak', 'daftar', 'tidak', 'menu', 'login', 'daftar', 'penuh', 'pakai', 'transaksi', 'beli', 'token', 'masuk', 'daftar', 'tidak', 'menu', 'loginnya']","{'Tampilan': [], 'Authentikasi': ['daftar', 'login', 'daftar', 'daftar'], 'Transaksi': ['transaksi']}",NA,Positive,Positive,"Authentikasi, Transaksi"
Aplikasi yg bagus.mempermudah semua transaksi.👍👍👍👍,"[bagus, mudah, transaksi]","['bagus', 'mudah', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Tidak ada menu Setor tunai.. update dong min.,"[tidak, menu, setor, tunai, update, admin]","['tidak', 'menu', 'setor', 'tunai', 'update', 'admin']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['tunai']}",NA,NA,Positive,Transaksi
"kedua kali saya komenn, masalahnya masih sama, andai bisa kirim ss di komentar, benerin verifikasi wajahnya, jgn dikit"" gagal, pdhl kunci wajah udh bner udh kena gembok nya, tp malah peringatan keluar ga bisa"", hadeh cape apk macam apa ini","[kali, komenn, masih, andai, kirim, ss, komentar, benerin, verifikasi, wajah, dikit, gagal, kunci, wajah, kena, gembok, ingat, tidak, haduh, capek]","['kali', 'komenn', 'masih', 'andai', 'kirim', 'ss', 'komentar', 'benerin', 'verifikasi', 'wajah', 'dikit', 'gagal', 'kunci', 'wajah', 'kena', 'gembok', 'ingat', 'tidak', 'haduh', 'capek']","{'Tampilan': [], 'Authentikasi': ['verifikasi', 'wajah', 'wajah'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Okeh sih aplikasinya tapi saya sarankan supaya ada notifikasi untuk uang masuk/ transferan masuk supaya gak khawatir kalau gak ada yang salah masuk secara tiba-tiba,"[okeh, sih, saran, notifikasi, uang, masuk, transfer, masuk, tidak, khawatir, tidak, salah, masuk]","['okeh', 'sih', 'saran', 'notifikasi', 'uang', 'masuk', 'transfer', 'masuk', 'tidak', 'khawatir', 'tidak', 'salah', 'masuk']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang', 'transfer']}",NA,NA,Positive,Transaksi
"Ngescan aja lama, gagal terus gk kebaca saat scan muka. Tolong diperbaiki masalah scan muka ngebug","[ngescan, lama, gagal, tidak, baca, scan, muka, tolong, diperbaiki, scan, muka, bug]","['ngescan', 'lama', 'gagal', 'tidak', 'baca', 'scan', 'muka', 'tolong', 'diperbaiki', 'scan', 'muka', 'bug']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['scan', 'scan']}",NA,NA,Negative,Transaksi
"gabisa login. Disuruh dekatkan wajah di depan layar, tacoba 10x gabisa anjirr. La terus harus posisi gimana coyy, padahal deteksi kek login face id, dana, bisaaaa deh GILA NI APLIKASI SERING EROR;;?!!!!;!;!!!!?!?","[tidak, login, suruh, dekat, wajah, layar, tacoba, kali, tidak, anjir, posisi, coyy, deteksi, kayak, login, face, id, dana, bisaaaa, gila, sering, error]","['tidak', 'login', 'suruh', 'dekat', 'wajah', 'layar', 'tacoba', 'kali', 'tidak', 'anjir', 'posisi', 'coyy', 'deteksi', 'kayak', 'login', 'face', 'id', 'dana', 'bisaaaa', 'gila', 'sering', 'error']","{'Tampilan': [], 'Authentikasi': ['login', 'wajah', 'login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Dari semalem gak bisa, lagi genting2nya mau transaksi malah eror sampai sekarang..kesel banget🤧 malah apk BNI sebelumnya udh sya hapus skrg mau download lagi,, ribetttt","[semalem, tidak, genting, transaksi, error, kesal, banget, hapus, download, ribetttt]","['semalem', 'tidak', 'genting', 'transaksi', 'error', 'kesal', 'banget', 'hapus', 'download', 'ribetttt']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"kalo dibuka lama baru bisa looding beda dgn yg aplikasi yg dulu,, mau bayar air utk kuwu timir blm bisa","[buka, lama, looding, beda, bayar, air, kuwu, timir, belum]","['buka', 'lama', 'looding', 'beda', 'bayar', 'air', 'kuwu', 'timir', 'belum']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Positive,Transaksi
"Satu kekurangan dari aplikasi ini,tidak adanya fitur cardless yang bisa setor tunai tanpa kartu.mohon diberikan fitur tersebut di apdate berikutnya.","[kurang, tidak, fitur, cardless, setor, tunai, tanpa, kartu, mohon, fitur, apdate]","['kurang', 'tidak', 'fitur', 'cardless', 'setor', 'tunai', 'tanpa', 'kartu', 'mohon', 'fitur', 'apdate']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['tunai']}",NA,NA,Negative,Transaksi
