at,userName,content,score
2024-12-30 23:55:24,Pengguna Google,LEBIH simpel BNI MOBILE. MAKSUDNYA APA YAH nasabah di suruh migrasi fungsinya sama aja sama BNI mobile. BUMN Oh BUMN,1
2024-12-30 23:15:34,Pengguna Google,"daftarin ortu,verifikasi wajah gagal terus, jadi nya limit , tiap hari di suruh besok lagi,",1
2024-12-30 22:51:26,Pengguna Google,Mantap,5
2024-12-30 22:45:21,Pengguna Google,Lebih simpel dari aplikasi BNI sebelumnya,5
2024-12-30 18:49:45,Pengguna Google,"Wah, notifikasi terkait konfirmasi transaksi lama dan kadang reciept/riwayat transaksi yg terjadi ga ke track. Justru lebih baik di app sebelumnya, bnimobile. Tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan. Tidak senyaman itu.",2
2024-12-30 17:15:30,Pengguna Google,Mengapa memakai baras minimum jika ingin transaksi padahal sebelumnya tdk memakai batas maksimum untuk wonder sya,5
2024-12-30 17:04:05,Pengguna Google,Recommended,5
2024-12-30 15:23:59,Pengguna Google,Aplikasinya gabisa dibuka malah suruh ke cabang,1
2024-12-30 15:21:20,Pengguna Google,"Mau Instal, verifikasi gagal terus,ribet susah...",1
2024-12-30 13:27:50,Pengguna Google,Bakk,5
2024-12-30 13:19:57,Pengguna Google,Iya,3
2024-12-30 12:39:15,Pengguna Google,Verifikasi email sampai 1 jam kok gak di kirim kodenya di ulang ulang sama aja,3
2024-12-30 12:16:52,Pengguna Google,kok fitur notifikasi transaksi keluar masuk dll gabisa digunakan gimana yaa. tolong plisss jadi gatau kalo ada saldo masuk ngga nyaa,2
2024-12-30 12:04:05,Pengguna Google,"Mau download BNI mobile banking gaboleh suruh wondr aja, Satpam suruh download wondr ku kira bisa cardless ternyata tidak, sekarang mau daftar mobile banking harus ke Bank dulu buat registrasi ID jadi males, kalau disuruh migrasi harusnya fitur juga memadai dengan apk sebelumnya ini cardless aja gabisa",1
2024-12-30 10:57:37,Pengguna Google,"Gabisa di buka, tulisannya tidak bisa mendaftar, tidak ada menu login, padahal pendaftaran sudah terpenuhi, dan sudah bisa di pakai transaksi pembelian token, tapi ketika keluar aplikasi begitu masuk daftar dari awal lagi, tidak ada menu loginnya",1
2024-12-30 10:54:58,Pengguna Google,mantap,5
2024-12-30 10:33:46,Pengguna Google,Membantu,4
2024-12-30 10:19:33,Pengguna Google,Aplikasi yg bagus.mempermudah semua transaksi.👍👍👍👍,5
2024-12-30 09:08:54,Pengguna Google,Tidak ada menu Setor tunai.. update dong min.,3
2024-12-30 08:48:07,Pengguna Google,👍👍👍👍👍,5
2024-12-30 08:06:19,Pengguna Google,BNI jozz,5
2024-12-30 07:50:02,Pengguna Google,luar biasa mantap,5
2024-12-30 07:41:28,Pengguna Google,Belum begitu paham dan belum di pakai dan untuk yg lain nya masih susah akses,3
2024-12-30 06:50:00,Pengguna Google,Kecewa banget. Aplikasi wonder ini sering error. Gk bisa di buka.,2
2024-12-30 06:26:43,Pengguna Google,"Ni aplikasi perlu dipertanyakan kegunaannya sangkin byknya masalah mulai dari ketentuan, koneksi, menu byk dan ribet kok rasanya lebih bagus yang lama dari pada yang sekarang dan saat membaca semua ketentuannya kok serasa dipaksa menerimanya meskipun kita tidak ingin itu dan yang paling menjengkelkan adalah saat mendadak justru aplikasinya tidak bisa berguna",1
2024-12-30 06:18:09,Pengguna Google,"kedua kali saya komenn, masalahnya masih sama, andai bisa kirim ss di komentar, benerin verifikasi wajahnya, jgn dikit"" gagal, pdhl kunci wajah udh bner udh kena gembok nya, tp malah peringatan keluar ga bisa"", hadeh cape apk macam apa ini",1
2024-12-30 05:37:58,Pengguna Google,Okeh sih aplikasinya tapi saya sarankan supaya ada notifikasi untuk uang masuk/ transferan masuk supaya gak khawatir kalau gak ada yang salah masuk secara tiba-tiba,5
2024-12-30 04:57:03,Pengguna Google,"Lama, suka error, better aplikasi yg dulu",2
2024-12-30 04:47:50,Pengguna Google,"Sistem sedang bermasalah,tim kami sedang memperbaiki",1
2024-12-30 04:36:05,Pengguna Google,Padahal udah nyaman banget dengan mobile banking BNI kenapa harus ganti aplikasi.,1
2024-12-30 04:31:10,Pengguna Google,"Tolong kah, kenapa Tidak bisa masuk Tolong kah di respon,hp sudah di riset tetap TDK bisa masuk,data ada tetap TDK bisa,saya coba bank lain bisa masuk, Tolong kh",1
2024-12-30 04:03:18,Pengguna Google,"Ngescan aja lama, gagal terus gk kebaca saat scan muka. Tolong diperbaiki masalah scan muka ngebug",3
